Sno,Domain Name,TLD,Create Date,Expiration Date,Lock,Auto-renew,Status,Renewal Price,Privacy,Estimated Value
1,1billionjobs.com,.COM,2020-04-10,2023-04-10,Locked,On,Active,₹ 774.59,Private,₹ 1020.00
2,billionphenoms.com,.COM,2020-04-09,2023-04-09,Locked,On,Active,₹ 774.59,Private,₹ 962.00
3,covidjobs.com,.COM,2020-03-01,2023-03-01,Locked,On,Active,₹ 774.59,Private,₹ 792.00
4,deloittephenompeople.com,.COM,2016-05-02,2025-05-02,Locked,On,Active,₹ 774.59,Private,₹ 172.00
5,helpabillion.work,.WORK,2020-04-08,2023-04-08,Locked,On,Active,₹ 654.92,Private,₹ 5.00
6,helpabillionpeople.com,.COM,2019-09-24,2023-09-24,Locked,On,Active,₹ 774.59,Private,₹ 596.00
7,helpbillion.com,.COM,2020-04-08,2023-04-08,Locked,On,Active,₹ 774.59,Private,₹ 1407.00
8,helpbillionpeople.com,.COM,2020-04-08,2023-04-08,Locked,On,Active,₹ 774.59,Private,₹ 1009.00
9,helponebillion.com,.COM,2020-04-09,2023-04-09,Locked,On,Active,₹ 774.59,Private,₹ 1036.00
10,hob.ai,.AI,2020-05-07,2024-05-07,Locked,On,Active,₹ 12294.26,Private,₹ 441.00
11,HTTPRECRUITERMARKETER.COM,.COM,2014-01-14,2024-01-14,Locked,On,Active,₹ 774.59,Private,₹ 188.00
12,iamphenom.com,.COM,2012-01-20,2027-01-20,Locked,On,Active,₹ 774.59,Private,₹ 1144.00
13,IMOMENTOS.CO,.CO,2012-08-31,2023-08-30,Locked,On,Active,₹ 2048.36,Private,₹ 3.00
14,IMOMENTOUS.BIZ,.BIZ,2012-08-31,2023-08-30,Locked,On,Active,₹ 1392.62,Private,₹ 2.00
15,IMOMENTOUS.CO,.CO,2012-08-31,2023-08-30,Locked,On,Active,₹ 2048.36,Private,₹ 2.00
16,imomentous.com,.COM,2010-06-15,2023-06-15,Locked,On,Active,₹ 774.59,Private,₹ 2538.00
